id;descricao;sponte
10;A Camino 1;A Camino 1
9;A Camino 2;A Camino 2
8;A Camino 3;A Camino 3
7;A Camino 4;A Camino 4
63;A Debate A;A Debate A
14;Backpack 1 A;Backpack 1 A
21;Backpack 1 B;Backpack 1 B
16;Backpack 2 A;Backpack 2 A
22;Backpack 2 B;Backpack 2 B
23;Backpack 3 A;Backpack 3 A
24;Backpack 3 B;Backpack 3 B
11;Backpack Starter A;Backpack Starter A
12;Backpack Starter B;Backpack Starter B
6;Book 1;Book 1
54;Book 1 Hybrid;Book 1 Hybrid
5;Book 2;Book 2
55;Book 2 Hybrid;Book 2 Hybrid
4;Book 3;Book 3
56;Book 3 Hybrid;Book 3 Hybrid
3;Book 4;Book 4
57;Book 4 Hybrid;Book 4 Hybrid
2;Book 5;Book 5
58;Book 5 Hybrid;Book 5 Hybrid
67;Book Test;Book Test
62;Camino 1;Camino 1
64;Camino 2;Camino 2
1;Cutting Edge Advanced - New Edition A;Cutting Edge Advanced - New Edition A
25;Cutting Edge Advanced - New Edition B;Cutting Edge Advanced - New Edition B
26;F&F 1A;Fluxie and Friends 1A
27;F&F 1B;Fluxie and Friends 1B
61;F&F 1B;Fluxie and Friends 1B
28;F&F 2A;Fluxie and Friends 2A
29;F&F 2B;Fluxie and Friends 2B
30;F&F STA;Fluxie and Friends ST A
31;F&F STB;Fluxie and Friends ST B
60;Hybrid Teste;Hybrid Teste
49;inFlux On Bunisess 2;inFlux On Bunisess 2
48;inFlux On Business 1;inFlux On Business 1
46;inFlux Traveler 1;inFlux Traveler 1
47;inFlux Traveler 2;inFlux Traveler 2
13;Junior 1;Junior 1
65;Junior 1 (NEW);Junior 1 (NEW)
50;Junior 2;Junior 2
51;Junior 3;Junior 3
52;Junior Starter A;Junior Starter A
66;Junior Starter A (NEW);Junior Starter A (NEW)
53;Junior Starter B;Junior Starter B
32;Market Leader Advanced A;Market Leader Advanced A
33;Market Leader Advanced B;Market Leader Advanced B
35;Market Leader Intermediate A;Market Leader Intermediate A
34;Market Leader Intermediate B;Market Leader Intermediate B
37;Market Leader Upper Intermediate A;Market Leader Upper Intermediate A
36;Market Leader Upper Intermediate B;Market Leader Upper Intermediate B
59;Speakout Advanced 2E American Split Coursebook1;Speakout Advanced 2E American Split Coursebook1
41;Summit 1 A;Summit 1A
40;Summit 1 B;Summit 1B
39;Summit 2 A;Summit 2A
38;Summit 2 B;Summit 1B
15;Tactics for TOEIC;TOEIC Practics
42;Tema a Tema B2 A;Tema a Tema B2 A
43;Tema a Tema B2 B;Tema a Tema B2 B
44;Tema a Tema C A;Tema a Tema C A
45;Tema a Tema C B;Tema a Tema C B
20;Vacation Plus 1;Vacation Plus 1
19;Vacation Plus 2;Vacation Plus 2
18;Vacation Plus 3;Vacation Plus 3
17;Vacation Plus 4;Vacation Plus 4
