;SuperAmigos Turbinado;PSPATB;;prospeccao_suamiturb;
;Interessados Antigos;PINTA;prospeccao_suamiturb;;
;Ex-aluno;PEXAL;;;
;Rua/Praça;PRPC;;prospeecao_rua;
;Condomínios;PCDMN;;;
;Eventos e Feiras;PEVTFRS;;;
;Empresas de Pequeno Porte;PEPP;;;
;Empresas de Grande Porte - Palestra coletiva;PEGPPC;;prospeccao_palestracoletiva;
;Empresas de Grande Porte - Estande da inFlux;PEGPEI;prospeccao_palestracoletiva;;
;Empresas de Grande Porte - Mailing para colaboradores;PEGPMPC;prospeccao_palestracoletiva;;
;Escolas/Faculdades - Palestra coletiva;PEFPC;prospeccao_palestracoletiva;;
;Escolas/Faculdades - Estande da inFlux;PEFEI;prospeccao_palestracoletiva;;
